"Add Mapping","Dodaj mapowanie"
"An error occurred while deleting this mapping.","Wystąpił błąd podczas usuwania tego mapowania."
"An error occurred while running this mapping.",'Wystąpił błąd w trakcie tego mapowania."
"An error occurred while saving this mapping.","Wystąpił błąd podczas zapisywania tego mapowania."
"Are you sure that you want to delete this mapping?","Czy jesteś pewien, że chcesz usunąć to mapowanie?"
"Categories","Kategorie"
"Ceneo Category","Kategoria Ceneo"
"Ceneo.pl feed URLs","URL-e feedów Ceneo.pl"
"Ceneo.pl Offer","Oferta Ceneo.pl"
"Ceneo.pl resources","Zasoby modułu Ceneo.pl"
"Configuration","Konfiguracja"
"Delete Mapping","Usuń mapowanie"
"Edit Mapping","Edycja mapowania"
"equals","ma wartość"
"Feed URLs","URL-e feedów"
"Get feed URLs","Pobierz URL-e feedów"
"Mapping Information","Informacje o mapowaniu"
"Mapping of the attributes for ""Other"" group","Mapowanie atrybutów dla niesprecyzowanej branży"
"Mapping of the core attributes","Mapowanie podstawowych atrybutów"
"Mapping Rules","Reguły mapowania"
"Mass Categories Mapping","Masowe mapowanie kategorii"
"New Mapping","Nowe mapowanie"
"not set","nie ustawiono"
"Offer","Oferta"
"Priority","Priorytet"
"Product is a set when","Produkt jest zestawem, gdy"
"Product is available for Buy in Ceneo when","Produkt jest dostępny w Kup na Ceneo, gdy"
"Product is available when","Produkt jest dostępny, gdy"
"Product will be available in 3 days when","Produkt będzie dostępny do 3 dni, gdy"
"Product will be available in a week when","Produkt będzie dostępny do tygodnia, gdy"
"Product will be available in more than week when","Produkt będzie dostępny później niż za tydzień, gdy"
"Run","Uruchom"
"Run All","Uruchom wszystkie"
"Save Mapping","Zapisz mapowanie"
"The mapping has been deleted.","Mapowanie zostało usunięte."
"The mapping has been finished successfully.","Mapowanie zakończyło się sukcesem."
"The mapping has been saved.","Mapowanie zostało zapisane."
"This value is used for the feeds URLs generation","Ta wartość jest używana do tworzenia URL-i feedów"
"Unique Hash","Unikalny hash"
